ID Evento,Data,Hora,ID Usuário,Usuário,E-mail,Idade,Cidade/UF,Gênero (Usuário),Data de Cadastro,Título,Gênero,Tipo,Episódios Assistidos,Duração da Sessão (min),Tempo Assistido (min),% Assistido,Concluiu?,Dispositivo
416,2026-09-09,10:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Wild Wild Country,Documentário,Documentário,-,80,71,0.89,Não,Notebook/PC
417,2026-09-09,15:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Atividade Paranormal,Terror,Filme,-,112,104,0.93,Sim,Smart TV
418,2026-09-09,20:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Modern Family,Comédia,Série,1,55,53,0.96,Sim,Smart TV
419,2026-09-10,07:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,American Horror Story,Terror,Série (antologia),2,90,90,1,Sim,Notebook/PC
420,2026-09-10,16:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,132,0.94,Sim,Smart TV
421,2026-09-10,20:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Blade Runner,Ficção Científica,Filme,-,107,105,0.98,Sim,Console
422,2026-09-11,07:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Origem (From),Terror,Série,2,78,73,0.93,Sim,Tablet
423,2026-09-11,16:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Senna,Documentário,Documentário,-,87,84,0.97,Sim,Console
424,2026-09-11,16:45,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Forrest Gump,Drama,Filme,-,104,89,0.86,Não,Tablet
425,2026-09-11,17:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Vikings,Ação,Série,3,174,171,0.98,Sim,Tablet
426,2026-09-12,09:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,O Iluminado,Terror,Filme,-,85,30,0.35,Não,Tablet
427,2026-09-12,10:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Kill Bill: Volume 1,Ação,Filme,-,122,52,0.43,Não,Celular
428,2026-09-12,20:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Olhos que Condenam,Drama,Minissérie,3,105,99,0.94,Sim,Smart TV
429,2026-09-13,11:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Curtindo a Vida Adoidado,Comédia,Filme,-,87,85,0.98,Sim,Smart TV
430,2026-09-13,12:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Iluminado,Terror,Filme,-,85,39,0.46,Não,Celular
431,2026-09-13,13:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Olhos que Condenam,Drama,Minissérie,3,105,99,0.94,Sim,Smart TV
432,2026-09-13,14:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Piratas do Caribe: A Maldição do Pérola Negra,Fantasia,Filme,-,120,82,0.68,Não,Smart TV
433,2026-09-13,15:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Orgulho e Preconceito,Romance,Filme,-,119,114,0.96,Sim,Celular
434,2026-09-13,16:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Psicose,Suspense,Filme,-,130,126,0.97,Sim,Tablet
435,2026-09-13,22:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,True Detective,Suspense,Série (antologia),2,84,79,0.94,Sim,Celular
